Statistical profiling result from isolate-0x1bd8d000-2870177-v8.log, (16812 ticks, 5394 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  JS: ~<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/antlr4ts/atn/LexerPushModeAction.js:13:21
      1    0.0%    0.0%  JS: ~<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/antlr4ts/atn/ATNDeserializationOptions.js:1:1
      1    0.0%    0.0%  JS: ~<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:1:1
      1    0.0%    0.0%  JS: ^update /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/antlr4ts/misc/MurmurHash.js:31:20
      1    0.0%    0.0%  JS: ^processPromiseRejections node:internal/process/promises:439:34
      1    0.0%    0.0%  JS: ^popAsyncContext node:internal/async_hooks:561:25
      1    0.0%    0.0%  JS: ^parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
      1    0.0%    0.0%  JS: ^normalize node:path:1293:12
      1    0.0%    0.0%  JS: ^closure /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/antlr4ts/atn/LexerATNSimulator.js:314:12
      1    0.0%    0.0%  JS: ^canPushMore node:internal/streams/readable:540:21
      1    0.0%    0.0%  JS: ^canCloseArray /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:262:18
      1    0.0%    0.0%  JS: ^addCatch node:events:355:18
      1    0.0%    0.0%  JS: ^ReadStream._read node:internal/fs/streams:251:38
      1    0.0%    0.0%  JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/antlr4ts/misc/BitSet.js:1:1
      1    0.0%    0.0%  JS: +wrappedFn node:internal/errors:537:21
      1    0.0%    0.0%  JS: +stepIntoArray /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamPosition.js:87:18
      1    0.0%    0.0%  JS: +startObject /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/dispatcher/AbstractObjectBuilder.js:17:16
      1    0.0%    0.0%  JS: +requireValuePosition /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:209:25
      1    0.0%    0.0%  JS: +realpathSync node:fs:2712:22
      1    0.0%    0.0%  JS: +read node:fs:602:14
      1    0.0%    0.0%  JS: +pushContainer /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:240:18
      1    0.0%    0.0%  JS: +pushAsyncContext node:internal/async_hooks:547:26
      1    0.0%    0.0%  JS: +pop /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamPosition.js:143:8
      1    0.0%    0.0%  JS: +peek /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/path/YAJSPath.js:50:9
      1    0.0%    0.0%  JS: +onValueBoundary /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:179:26
      1    0.0%    0.0%  JS: +isEmpty node:internal/fixed_queue:96:10
