Statistical profiling result from isolate-0x1bd8d000-2870177-v8.log, (16812 ticks, 5394 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     37  100.0%      JS: *parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
     27   73.0%        JS: +<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
     27  100.0%          JS: +ondata node:internal/streams/readable:1005:18
     27  100.0%            JS: *emit node:events:455:44
     10   27.0%        JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
     10  100.0%          JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
     10  100.0%            JS: ^ondata node:internal/streams/readable:1005:18
     29   10.7%    JS: *endObject /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamContext.js:119:14
     23   79.3%      JS: *onEndObject /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:115:22
     23  100.0%        JS: *parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
     13   56.5%          JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
     13  100.0%            JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
     10   43.5%          JS: +<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
     10  100.0%            JS: +ondata node:internal/streams/readable:1005:18
      6   20.7%      JS: *parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
      4   66.7%        JS: ~<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
      4  100.0%          JS: ~stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
      4  100.0%            JS: ~ondata node:internal/streams/readable:1005:18
      2   33.3%        JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
      2  100.0%          JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
      2  100.0%            JS: ^ondata node:internal/streams/readable:1005:18
     13    4.8%    JS: +read node:fs:602:14
     13  100.0%      JS: +ReadStream._read node:internal/fs/streams:251:38
     13  100.0%        JS: +Readable.read node:internal/streams/readable:645:35
     13  100.0%          JS: +maybeReadMore_ node:internal/streams/readable:862:24
     13  100.0%            JS: +processTicksAndRejections node:internal/process/task_queues:71:35
      8    2.9%    JS: ^read node:fs:602:14
      8  100.0%      JS: ^ReadStream._read node:internal/fs/streams:251:38
      8  100.0%        JS: ^Readable.read node:internal/streams/readable:645:35
      8  100.0%          JS: ^maybeReadMore_ node:internal/streams/readable:862:24
      4   50.0%            JS: ^processTicksAndRejections node:internal/process/task_queues:71:35
      4   50.0%            JS: +processTicksAndRejections node:internal/process/task_queues:71:35
      7    2.6%    JS: ^wrapSafe node:internal/modules/cjs/loader:1650:18
      7  100.0%      JS: ^<anonymous> node:internal/modules/cjs/loader:1711:37
      6   85.7%        JS: ^<anonymous> node:internal/modules/cjs/loader:1858:37
      6  100.0%          JS: ^<anonymous> node:internal/modules/cjs/loader:1472:33
      6  100.0%            JS: ^<anonymous> node:internal/modules/cjs/loader:1204:24
      1   14.3%        JS: ^<anonymous> node:internal/modules/cjs/loader:1204:24
      1  100.0%          JS: ^traceSync node:diagnostics_channel:326:12
      1  100.0%            JS: ^wrapModuleLoad node:internal/modules/cjs/loader:238:24
      6    2.2%    JS: *parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
      3   50.0%      JS: ~<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
      3  100.0%        JS: ~stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
      3  100.0%          JS: ~ondata node:internal/streams/readable:1005:18
      2   66.7%            JS: +emit node:events:455:44
      1   33.3%            JS: ~addChunk node:internal/streams/readable:548:18
      3   50.0%      JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
      3  100.0%        JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
      3  100.0%          JS: ^ondata node:internal/streams/readable:1005:18
      3  100.0%            JS: *emit node:events:455:44
      3    1.1%    JS: +parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
      3  100.0%      JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
      3  100.0%        JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
      3  100.0%          JS: ^ondata node:internal/streams/readable:1005:18
      3  100.0%            JS: *emit node:events:455:44
      3    1.1%    JS: +emit node:events:455:44
      2   66.7%      JS: *endObject /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamContext.js:119:14
      2  100.0%        JS: *parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
      2  100.0%          JS: ~<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
      2  100.0%            JS: ~stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
      1   33.3%      JS: +stream.queue.stream.push /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:40:41
      1  100.0%        JS: +ObjectDispatcher.dispatch /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/dispatcher/ObjectDispatcher.js:26:17
      1  100.0%          JS: +<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamContext.js:129:23
      1  100.0%            JS: +endObject /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamContext.js:119:14
      3    1.1%    JS: *startObjectEntry /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamContext.js:131:21
      3  100.0%      JS: *parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
      3  100.0%        JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
      3  100.0%          JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
      3  100.0%            JS: ^ondata node:internal/streams/readable:1005:18

    232    1.4%  Builtin: GrowFastSmiOrObjectElements
     91   39.2%    JS: *parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
     47   51.6%      JS: +<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
     47  100.0%        JS: +ondata node:internal/streams/readable:1005:18
     47  100.0%          JS: *emit node:events:455:44
     47  100.0%            JS: +addChunk node:internal/streams/readable:548:18
     43   47.3%      JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
     43  100.0%        JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
     43  100.0%          JS: ^ondata node:internal/streams/readable:1005:18
     43  100.0%            JS: *emit node:events:455:44
      1    1.1%      JS: ~<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
      1  100.0%        JS: ~stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
      1  100.0%          JS: ~ondata node:internal/streams/readable:1005:18
      1  100.0%            JS: +emit node:events:455:44
     82   35.3%    JS: *startObject /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamContext.js:93:16
     82  100.0%      JS: *parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
     42   51.2%        JS: +<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
     42  100.0%          JS: +ondata node:internal/streams/readable:1005:18
     42  100.0%            JS: *emit node:events:455:44
     40   48.8%        JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
     40  100.0%          JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
     40  100.0%            JS: ^ondata node:internal/streams/readable:1005:18
     55   23.7%    JS: *onEndObject /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:115:22
     55  100.0%      JS: *parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
     36   65.5%        JS: +<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
     36  100.0%          JS: +ondata node:internal/streams/readable:1005:18
     36  100.0%            JS: *emit node:events:455:44
     19   34.5%        JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
     19  100.0%          JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
     19  100.0%            JS: ^ondata node:internal/streams/readable:1005:18

    228    1.4%  JS: *StreamPosition /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamPosition.js:9:16
    226   99.1%    JS: *startObject /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamContext.js:93:16
    226  100.0%      JS: *parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
    131   58.0%        JS: +<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
    131  100.0%          JS: +ondata node:internal/streams/readable:1005:18
    131  100.0%            JS: *emit node:events:455:44
     95   42.0%        JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
     95  100.0%          JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
     95  100.0%            JS: ^ondata node:internal/streams/readable:1005:18

    204    1.2%  Builtin: StoreIC
     98   48.0%    JS: *parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
     59   60.2%      JS: +<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
     59  100.0%        JS: +ondata node:internal/streams/readable:1005:18
     59  100.0%          JS: *emit node:events:455:44
     59  100.0%            JS: +addChunk node:internal/streams/readable:548:18
     37   37.8%      JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
     37  100.0%        JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
     37  100.0%          JS: ^ondata node:internal/streams/readable:1005:18
     37  100.0%            JS: *emit node:events:455:44
      2    2.0%      JS: ~<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
      2  100.0%        JS: ~stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
      2  100.0%          JS: ~ondata node:internal/streams/readable:1005:18
      1   50.0%            JS: ~addChunk node:internal/streams/readable:548:18
      1   50.0%            JS: *emit node:events:455:44
     54   26.5%    JS: *onColon /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:106:18
     54  100.0%      JS: *parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
     38   70.4%        JS: +<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
     38  100.0%          JS: +ondata node:internal/streams/readable:1005:18
     38  100.0%            JS: *emit node:events:455:44
     16   29.6%        JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
     16  100.0%          JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
     16  100.0%            JS: ^ondata node:internal/streams/readable:1005:18
     44   21.6%    JS: *onEndObject /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:115:22
     44  100.0%      JS: *parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
     29   65.9%        JS: +<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
     29  100.0%          JS: +ondata node:internal/streams/readable:1005:18
     29  100.0%            JS: *emit node:events:455:44
     15   34.1%        JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
     15  100.0%          JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
     15  100.0%            JS: ^ondata node:internal/streams/readable:1005:18
      4    2.0%    JS: *startObjectEntry /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamContext.js:131:21
      4  100.0%      JS: *parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
      3   75.0%        JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
      3  100.0%          JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
      3  100.0%            JS: ^ondata node:internal/streams/readable:1005:18
      1   25.0%        JS: ~<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
      1  100.0%          JS: ~stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
      1  100.0%            JS: ~ondata node:internal/streams/readable:1005:18

    170    1.0%  Builtin: KeyedLoadIC_Megamorphic
     88   51.8%    JS: *parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
     55   62.5%      JS: +<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
     55  100.0%        JS: +ondata node:internal/streams/readable:1005:18
     55  100.0%          JS: *emit node:events:455:44
     55  100.0%            JS: +addChunk node:internal/streams/readable:548:18
     31   35.2%      JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
     31  100.0%        JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
     31  100.0%          JS: ^ondata node:internal/streams/readable:1005:18
     31  100.0%            JS: *emit node:events:455:44
      2    2.3%      JS: ~<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
      2  100.0%        JS: ~stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
      2  100.0%          JS: ~ondata node:internal/streams/readable:1005:18
      2  100.0%            JS: +emit node:events:455:44
     50   29.4%    JS: *onColon /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:106:18
     50  100.0%      JS: *parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
     34   68.0%        JS: +<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
     34  100.0%          JS: +ondata node:internal/streams/readable:1005:18
     34  100.0%            JS: *emit node:events:455:44
     16   32.0%        JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
     16  100.0%          JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
     16  100.0%            JS: ^ondata node:internal/streams/readable:1005:18
     11    6.5%    JS: +<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
     11  100.0%      JS: +ondata node:internal/streams/readable:1005:18
     11  100.0%        JS: *emit node:events:455:44
     11  100.0%          JS: +addChunk node:internal/streams/readable:548:18
     11  100.0%            JS: +readableAddChunkPushByteMode node:internal/streams/readable:461:38
      7    4.1%    JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
      7  100.0%      JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
      7  100.0%        JS: ^ondata node:internal/streams/readable:1005:18
      7  100.0%          JS: *emit node:events:455:44
      7  100.0%            JS: ^addChunk node:internal/streams/readable:548:18
      4    2.4%    JS: *popContainer /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:248:17
      4  100.0%      JS: *parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
      2   50.0%        JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
      2  100.0%          JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
      2  100.0%            JS: ^ondata node:internal/streams/readable:1005:18
      2   50.0%        JS: +<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
      2  100.0%          JS: +ondata node:internal/streams/readable:1005:18
      2  100.0%            JS: *emit node:events:455:44
      3    1.8%    JS: *startObjectEntry /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamContext.js:131:21
      3  100.0%      JS: *parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
      2   66.7%        JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
      2  100.0%          JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
      2  100.0%            JS: ^ondata node:internal/streams/readable:1005:18
      1   33.3%        JS: ~<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
      1  100.0%          JS: ~stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
      1  100.0%            JS: ~ondata node:internal/streams/readable:1005:18

